Year,State.1,Total Property Crimes,Total Violent Crimes,population,Violent Crimes per 100k,Property Crimes per 100k,Total Crime per 100k
2016,Alabama,140657,25141,4863300,516.95,2892.21,3409.17
2017,Alabama,137190,23979,4874747,491.9,2814.3,3306.2
2018,Alabama,130598,23939,4887871,489.76,2671.88,3161.64
2019,Alabama,52253,9625,4903185,196.3,1065.7,1262
2020,Alabama,49810,10617,5024279,211.31,991.39,1202.7
2021,Alabama,63890,15222,5039877,302.03,1267.69,1569.72
2022,Alabama,84601,19513,5074296,384.55,1667.25,2051.79
2023,Alabama,87081,19975,5108468,391.02,1704.64,2095.66
2024,Alabama,83622,19403,5157699,376.19,1621.3,1997.5
2016,Alaska,24912,5950,741894,802,3357.89,4159.89
2017,Alaska,26225,6324,739795,854.83,3544.9,4399.73
2018,Alaska,24421,6536,737438,886.31,3311.6,4197.91
2019,Alaska,21473,6347,731545,867.62,2935.29,3802.91
2020,Alaska,16550,6105,733391,832.43,2256.64,3089.08
2021,Alaska,5101,2415,732673,329.61,696.22,1025.83
2022,Alaska,13470,5685,733583,774.96,1836.19,2611.16
2023,Alaska,13983,5406,733406,737.11,1906.58,2643.69
2024,Alaska,12884,5395,740133,728.92,1740.77,2469.69
2016,Arizona,206881,31825,6931071,459.16,2984.83,3444
2017,Arizona,205397,35783,7016270,510,2927.44,3437.44
2018,Arizona,192046,33560,7171646,467.95,2677.85,3145.81
2019,Arizona,175760,32604,7278717,447.94,2414.71,2862.65
2020,Arizona,164701,35403,7151502,495.04,2303.03,2798.07
2021,Arizona,72468,13346,7276316,183.42,995.94,1179.36
2022,Arizona,157552,33088,7359197,449.61,2140.89,2590.5
2023,Arizona,140165,31810,7431344,428.05,1886.13,2314.18
2024,Arizona,135430,32557,7582384,429.38,1786.11,2215.49
2016,Arkansas,94219,15914,2988248,532.55,3152.98,3685.54
2017,Arkansas,90612,16375,3004279,545.06,3016.1,3561.15
2018,Arkansas,87881,16630,3013825,551.79,2915.93,3467.72
2019,Arkansas,84193,17244,3017804,571.41,2789.88,3361.29
2020,Arkansas,78667,20191,3011524,670.46,2612.2,3282.66
2021,Arkansas,75914,20905,3025891,690.87,2508.81,3199.69
2022,Arkansas,75201,19812,3045637,650.5,2469.14,3119.64
2023,Arkansas,68335,18910,3067732,616.42,2227.54,2843.96
2024,Arkansas,59958,17910,3088354,579.92,1941.42,2521.34
2016,California,1009344,174751,39250017,445.23,2571.58,3016.8
2017,California,995644,178588,39536653,451.7,2518.28,2969.98
2018,California,949839,176969,39557045,447.38,2401.19,2848.56
2019,California,923915,173320,39512223,438.65,2338.3,2776.95
2020,California,853161,173941,39538223,439.93,2157.81,2597.74
2021,California,159888,36441,39237836,92.87,407.48,500.36
2022,California,920332,193875,39029342,496.74,2358.05,2854.79
2023,California,906813,201454,38965193,517.01,2327.24,2844.25
2024,California,782443,188104,39431263,477.04,1984.32,2461.36
2016,Colorado,151032,18907,5540545,341.25,2725.94,3067.19
2017,Colorado,150902,20892,5607154,372.6,2691.24,3063.84
2018,Colorado,153760,23066,5695564,404.98,2699.64,3104.63
2019,Colorado,150373,22341,5758736,387.95,2611.22,2999.17
2020,Colorado,166937,25365,5773714,439.32,2891.33,3330.65
2021,Colorado,184120,28181,5812069,484.87,3167.89,3652.76
2022,Colorado,187360,29705,5839926,508.65,3208.26,3716.91
2023,Colorado,173274,28756,5877610,489.25,2948.04,3437.28
2024,Colorado,157042,28671,5957494,481.26,2636.04,3117.3
2016,Connecticut,65283,8181,3576452,228.75,1825.36,2054.1
2017,Connecticut,63981,8203,3588184,228.61,1783.1,2011.71
2018,Connecticut,60457,7516,3572665,210.38,1692.21,1902.59
2019,Connecticut,51392,6627,3565287,185.88,1441.45,1627.33
2020,Connecticut,56478,6607,3605944,183.23,1566.25,1749.47
2021,Connecticut,56169,6303,3605597,174.81,1557.83,1732.64
2022,Connecticut,55098,5661,3626205,156.11,1519.44,1675.55
2023,Connecticut,57080,5594,3617176,154.65,1578.03,1732.68
2024,Connecticut,51284,5127,3675069,139.51,1395.46,1534.96
2016,Delaware,26550,4861,952065,510.57,2788.68,3299.25
2017,Delaware,23541,4376,961939,454.91,2447.24,2902.16
2018,Delaware,22525,4090,967171,422.88,2328.96,2751.84
2019,Delaware,22011,4115,973764,422.59,2260.4,2682.99
2020,Delaware,19530,4366,989948,441.03,1972.83,2413.86
2021,Delaware,19097,4261,1003384,424.66,1903.26,2327.92
2022,Delaware,20249,4010,1018396,393.76,1988.32,2382.08
2023,Delaware,20211,4105,1031890,397.81,1958.64,2356.45
2024,Delaware,18627,3859,1051917,366.85,1770.77,2137.62
2016,District of Columbia,32931,8239,681170,1209.54,4834.48,6044.01
2017,District of Columbia,29960,6975,693972,1005.08,4317.18,5322.26
2018,District of Columbia,30921,6995,702455,995.79,4401.85,5397.64
2019,District of Columbia,30981,7403,705749,1048.96,4389.8,5438.76
2020,District of Columbia,25108,7127,689545,1033.58,3641.24,4674.82
2021,District of Columbia,11754,2886,670050,430.71,1754.2,2184.91
2022,District of Columbia,24044,5492,671803,817.5,3579.03,4396.53
2023,District of Columbia,29436,7852,678972,1156.45,4335.38,5491.83
2024,District of Columbia,26070,7107,702250,1012.03,3712.35,4724.39
2016,Florida,553983,88577,20612439,429.73,2687.61,3117.34
2017,Florida,528175,85658,20984400,408.2,2516.99,2925.19
2018,Florida,486672,81993,21299325,384.96,2284.92,2669.87
2019,Florida,461047,81183,21477737,377.99,2146.63,2524.61
2020,Florida,384263,83199,21538187,386.29,1784.1,2170.39
2021,Florida,87169,20884,21781128,95.88,400.2,496.09
2022,Florida,272544,61343,22244823,275.76,1225.2,1500.96
2023,Florida,243863,51795,22610726,229.07,1078.53,1307.6
2024,Florida,238272,49041,23372215,209.83,1019.47,1229.29
2016,Georgia,308505,39354,10310371,381.69,2992.18,3373.87
2017,Georgia,255440,32275,10429379,309.46,2449.23,2758.7
2018,Georgia,259385,33250,10519475,316.08,2465.76,2781.84
